,16 17 17,17 17 17,18 17 17,
23335.1,-1515.22,-32.6106,520.645,
23335.2,-1515.24,-32.6065,520.654,
23335.3,-1515.26,-32.6026,520.663,
23335.4,-1515.28,-32.5986,520.671,
23335.5,-1515.31,-32.5948,520.68,
23335.6,-1515.33,-32.591,520.688,
23335.7,-1515.35,-32.5872,520.697,
23335.8,-1515.37,-32.5835,520.705,
23335.9,-1515.39,-32.5799,520.713,
23336,-1515.41,-32.5763,520.72,
23336.1,-1515.43,-32.5728,520.728,
23336.2,-1515.45,-32.5694,520.735,
23336.3,-1515.47,-32.566,520.743,
23336.4,-1515.48,-32.5626,520.75,
23336.5,-1515.5,-32.5593,520.757,
23336.6,-1515.52,-32.5561,520.764,
23336.7,-1515.54,-32.5529,520.771,
23336.8,-1515.55,-32.5498,520.778,
23336.9,-1515.57,-32.5467,520.784,
23337,-1515.59,-32.5436,520.791,
23337.1,-1515.6,-32.5406,520.797,
23337.2,-1515.62,-32.5377,520.803,
23337.3,-1515.64,-32.5348,520.81,
23337.4,-1515.65,-32.5319,520.816,
23337.5,-1515.67,-32.5291,520.822,
23337.6,-1515.68,-32.5263,520.827,
23337.7,-1515.7,-32.5236,520.833,
23337.8,-1515.71,-32.5209,520.839,
23337.9,-1515.72,-32.5183,520.844,
23338,-1515.74,-32.5157,520.85,
23338.1,-1515.75,-32.5132,520.855,
23338.2,-1515.76,-32.5106,520.86,
23338.3,-1515.78,-32.5082,520.865,
23338.4,-1515.79,-32.5057,520.87,
23338.5,-1515.8,-32.5033,520.875,
23338.6,-1515.82,-32.501,520.88,
23338.7,-1515.83,-32.4987,520.885,
23338.8,-1515.84,-32.4964,520.89,
23338.9,-1515.85,-32.4941,520.894,
23339,-1515.86,-32.4919,520.899,
23339.1,-1515.87,-32.4897,520.903,
23339.2,-1515.89,-32.4876,520.908,
23339.3,-1515.9,-32.4855,520.912,
23339.4,-1515.91,-32.4834,520.916,
23339.5,-1515.92,-32.4814,520.92,
23339.6,-1515.93,-32.4794,520.924,
23339.7,-1515.94,-32.4774,520.928,
23339.8,-1515.95,-32.4754,520.932,
23339.9,-1515.96,-32.4735,520.936,
23340,-1515.97,-32.4716,520.94,
23340.1,-1515.98,-32.4698,520.943,
23340.2,-1515.99,-32.4679,520.947,
23340.3,-1516,-32.4661,520.951,
23340.4,-1516.01,-32.4644,520.954,
23340.5,-1516.01,-32.4626,520.957,
23340.6,-1516.02,-32.4609,520.961,
23340.7,-1516.03,-32.4592,520.964,
23340.8,-1516.04,-32.4576,520.967,
23340.9,-1516.05,-32.4559,520.971,
23341,-1516.06,-32.4543,520.974,
23341.1,-1516.07,-32.4528,520.977,
23341.2,-1516.07,-32.4512,520.98,
23341.3,-1516.08,-32.4497,520.983,
23341.4,-1516.09,-32.4482,520.986,
23341.5,-1516.1,-32.4467,520.989,
23341.6,-1516.1,-32.4452,520.991,
23341.7,-1516.11,-32.4438,520.994,
23341.8,-1516.12,-32.4424,520.997,
23341.9,-1516.12,-32.441,521,
23342,-1516.13,-32.4396,521.002,
23342.1,-1516.14,-32.4383,521.005,
23342.2,-1516.14,-32.4369,521.007,
23342.3,-1516.15,-32.4356,521.01,
23342.4,-1516.16,-32.4343,521.012,
23342.5,-1516.16,-32.4331,521.015,
23342.6,-1516.17,-32.4318,521.017,
23342.7,-1516.18,-32.4306,521.019,
23342.8,-1516.18,-32.4294,521.022,
23342.9,-1516.19,-32.4282,521.024,
23343,-1516.19,-32.427,521.026,
23343.1,-1516.2,-32.4259,521.028,
23343.2,-1516.2,-32.4248,521.03,
23343.3,-1516.21,-32.4237,521.032,
23343.4,-1516.22,-32.4226,521.034,
23343.5,-1516.22,-32.4215,521.036,
23343.6,-1516.23,-32.4204,521.038,
23343.7,-1516.23,-32.4194,521.04,
23343.8,-1516.24,-32.4184,521.042,
23343.9,-1516.24,-32.4174,521.044,
23344,-1516.25,-32.4164,521.046,
23344.1,-1516.25,-32.4154,521.048,
23344.2,-1516.25,-32.4144,521.049,
23344.3,-1516.26,-32.4135,521.051,
23344.4,-1516.26,-32.4125,521.053,
23344.5,-1516.27,-32.4116,521.054,
23344.6,-1516.27,-32.4107,521.056,
23344.7,-1516.28,-32.4098,521.058,
23344.8,-1516.28,-32.409,521.059,
23344.9,-1516.28,-32.4081,521.061,
23345,-1516.29,-32.4073,521.062,
23345.1,-1516.29,-32.4064,521.064,
23345.2,-1516.3,-32.4056,521.065,
23345.3,-1516.3,-32.4048,521.067,
23345.4,-1516.3,-32.404,521.068,
23345.5,-1516.31,-32.4032,521.069,
23345.6,-1516.31,-32.4025,521.071,
23345.7,-1516.31,-32.4017,521.072,
23345.8,-1516.32,-32.401,521.074,
23345.9,-1516.32,-32.4002,521.075,
23346,-1516.33,-32.3995,521.076,
