,16 17 17,17 17 17,18 17 17,
38.7,-94.0743,-87.2187,-94.0743,
38.8,-94.0743,-87.2186,-94.0743,
38.9,-94.0743,-87.2185,-94.0743,
39,-94.0742,-87.2184,-94.0742,
39.1,-94.0742,-87.2183,-94.0742,
39.2,-94.0742,-87.2183,-94.0742,
39.3,-94.0742,-87.2182,-94.0742,
39.4,-94.0742,-87.2181,-94.0742,
39.5,-94.0741,-87.218,-94.0741,
39.6,-94.0741,-87.2179,-94.0741,
39.7,-94.0741,-87.2179,-94.0741,
39.8,-94.0741,-87.2178,-94.0741,
39.9,-94.074,-87.2177,-94.074,
40,-94.074,-87.2177,-94.074,
40.1,-94.074,-87.2176,-94.074,
40.2,-94.074,-87.2175,-94.074,
40.3,-94.074,-87.2174,-94.074,
40.4,-94.0739,-87.2174,-94.0739,
40.5,-94.0739,-87.2173,-94.0739,
40.6,-94.0739,-87.2173,-94.0739,
40.7,-94.0739,-87.2172,-94.0739,
40.8,-94.0739,-87.2171,-94.0739,
40.9,-94.0739,-87.2171,-94.0739,
41,-94.0738,-87.217,-94.0738,
41.1,-94.0738,-87.2169,-94.0738,
41.2,-94.0738,-87.2169,-94.0738,
41.3,-94.0738,-87.2168,-94.0738,
41.4,-94.0738,-87.2168,-94.0738,
41.5,-94.0738,-87.2167,-94.0738,
41.6,-94.0737,-87.2167,-94.0737,
41.7,-94.0737,-87.2166,-94.0737,
41.8,-94.0737,-87.2166,-94.0737,
41.9,-94.0737,-87.2165,-94.0737,
42,-94.0737,-87.2165,-94.0737,
42.1,-94.0737,-87.2164,-94.0737,
42.2,-94.0737,-87.2164,-94.0737,
42.3,-94.0737,-87.2163,-94.0737,
42.4,-94.0736,-87.2163,-94.0736,
42.5,-94.0736,-87.2162,-94.0736,
42.6,-94.0736,-87.2162,-94.0736,
42.7,-94.0736,-87.2161,-94.0736,
42.8,-94.0736,-87.2161,-94.0736,
42.9,-94.0736,-87.2161,-94.0736,
43,-94.0736,-87.216,-94.0736,
43.1,-94.0736,-87.216,-94.0736,
43.2,-94.0736,-87.2159,-94.0736,
43.3,-94.0735,-87.2159,-94.0735,
43.4,-94.0735,-87.2159,-94.0735,
43.5,-94.0735,-87.2158,-94.0735,
43.6,-94.0735,-87.2158,-94.0735,
43.7,-94.0735,-87.2158,-94.0735,
43.8,-94.0735,-87.2157,-94.0735,
43.9,-94.0735,-87.2157,-94.0735,
44,-94.0735,-87.2156,-94.0735,
44.1,-94.0735,-87.2156,-94.0735,
44.2,-94.0735,-87.2156,-94.0735,
44.3,-94.0734,-87.2155,-94.0734,
44.4,-94.0734,-87.2155,-94.0734,
44.5,-94.0734,-87.2155,-94.0734,
44.6,-94.0734,-87.2155,-94.0734,
44.7,-94.0734,-87.2154,-94.0734,
44.8,-94.0734,-87.2154,-94.0734,
44.9,-94.0734,-87.2154,-94.0734,
45,-94.0734,-87.2153,-94.0734,
45.1,-94.0734,-87.2153,-94.0734,
45.2,-94.0734,-87.2153,-94.0734,
45.3,-94.0734,-87.2152,-94.0734,
45.4,-94.0734,-87.2152,-94.0734,
45.5,-94.0734,-87.2152,-94.0734,
45.6,-94.0733,-87.2152,-94.0733,
45.7,-94.0733,-87.2151,-94.0733,
45.8,-94.0733,-87.2151,-94.0733,
45.9,-94.0733,-87.2151,-94.0733,
46,-94.0733,-87.2151,-94.0733,
46.1,-94.0733,-87.215,-94.0733,
46.2,-94.0733,-87.215,-94.0733,
46.3,-94.0733,-87.215,-94.0733,
46.4,-94.0733,-87.215,-94.0733,
46.5,-94.0733,-87.215,-94.0733,
46.6,-94.0733,-87.2149,-94.0733,
46.7,-94.0733,-87.2149,-94.0733,
46.8,-94.0733,-87.2149,-94.0733,
46.9,-94.0733,-87.2149,-94.0733,
47,-94.0733,-87.2149,-94.0733,
47.1,-94.0733,-87.2148,-94.0733,
47.2,-94.0733,-87.2148,-94.0733,
47.3,-94.0733,-87.2148,-94.0733,
47.4,-94.0732,-87.2148,-94.0732,
47.5,-94.0732,-87.2148,-94.0732,
47.6,-94.0732,-87.2147,-94.0732,
47.7,-94.0732,-87.2147,-94.0732,
47.8,-94.0732,-87.2147,-94.0732,
47.9,-94.0732,-87.2147,-94.0732,
48,-94.0732,-87.2147,-94.0732,
48.1,-94.0732,-87.2147,-94.0732,
48.2,-94.0732,-87.2146,-94.0732,
48.3,-94.0732,-87.2146,-94.0732,
48.4,-94.0732,-87.2146,-94.0732,
48.5,-94.0732,-87.2146,-94.0732,
48.6,-94.0732,-87.2146,-94.0732,
48.7,-94.0732,-87.2146,-94.0732,
48.8,-94.0732,-87.2145,-94.0732,
48.9,-94.0732,-87.2145,-94.0732,
49,-94.0732,-87.2145,-94.0732,
49.1,-94.0732,-87.2145,-94.0732,
49.2,-94.0732,-87.2145,-94.0732,
49.3,-94.0732,-87.2145,-94.0732,
49.4,-94.0732,-87.2145,-94.0732,
49.5,-94.0732,-87.2145,-94.0732,
49.6,-94.0732,-87.2144,-94.0732,
49.7,-94.0732,-87.2144,-94.0732,
49.8,-94.0732,-87.2144,-94.0732,
49.9,-94.0732,-87.2144,-94.0732,
50,-94.0732,-87.2144,-94.0732,
50.1,-94.0732,-87.2144,-177.64,
50.2,-94.0732,-86.9551,-256.171,
50.3,-94.0738,-86.4678,-330.002,
50.4,-94.0757,-85.7806,-399.449,
50.5,-94.0792,-84.9191,-464.802,
50.6,-94.0846,-83.9062,-526.333,
50.7,-94.0922,-82.7625,-584.297,
50.8,-94.1023,-81.5066,-638.929,
50.9,-94.1148,-80.1551,-690.448,
51,-94.1299,-78.7231,-739.059,
51.1,-94.1476,-77.2238,-784.952,
51.2,-94.168,-75.6694,-828.305,
51.3,-94.1908,-74.0705,-869.283,
51.4,-94.2162,-72.4365,-908.04,
51.5,-94.244,-70.7761,-944.72,
51.6,-94.274,-69.0967,-979.456,
51.7,-94.3063,-67.4049,-1012.37,
51.8,-94.3406,-65.7067,-1043.59,
51.9,-94.3769,-64.0071,-1073.2,
52,-94.415,-62.3109,-1101.33,
52.1,-94.4548,-60.6218,-1128.05,
52.2,-94.4962,-58.9434,-1153.46,
52.3,-94.5389,-57.2786,-1177.64,
52.4,-94.5829,-55.63,-1200.67,
52.5,-94.6281,-53.9997,-1222.61,
52.6,-94.6743,-52.3898,-1243.53,
52.7,-94.7214,-50.8016,-1263.5,
52.8,-94.7693,-49.2365,-1282.57,
52.9,-94.8178,-47.6956,-1300.79,
53,-94.8669,-46.1796,-1318.22,
53.1,-94.9165,-44.6893,-1334.9,
53.2,-94.9664,-43.2251,-1350.88,
53.3,-95.0166,-41.7874,-1366.2,
53.4,-95.0669,-40.3763,-1380.89,
53.5,-95.1174,-38.992,-1395,
53.6,-95.1679,-37.6345,-1408.55,
53.7,-95.2184,-36.3036,-1421.57,
53.8,-95.2687,-34.9993,-1434.1,
53.9,-95.3189,-33.7212,-1446.16,
54,-95.3688,-32.4691,-1457.78,
54.1,-95.4185,-31.2427,-1468.97,
54.2,-95.4679,-30.0416,-1479.78,
54.3,-95.5169,-28.8654,-1490.2,
54.4,-95.5655,-27.7136,-1500.27,
54.5,-95.6136,-26.5859,-1510.01,
54.6,-95.6613,-25.4816,-1519.42,
54.7,-95.7085,-24.4005,-1528.52,
54.8,-95.7552,-23.3418,-1537.34,
54.9,-95.8013,-22.3052,-1545.88,
55,-95.8469,-21.2902,-1554.16,
55.1,-95.8919,-20.2962,-1562.19,
55.2,-95.9363,-19.3227,-1569.98,
55.3,-95.9801,-18.3693,-1577.54,
55.4,-96.0233,-17.4354,-1584.88,
55.5,-96.0659,-16.5206,-1592.02,
